"id";"name";"host_id";"host_name";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm"
"36268182";"Palermo Soho Studio.  Trendy, Bright and Spacious";272770998;"Maria Soledad Etel";"Palermo";-34.58517;-58.42341;"Entire home/apt";45464.0;2;47;"2024-12-04";0.7;1;155;4
"36281536";"New Stylish 2amb in Barrancas de Madero, San telmo";215941601;"Javier";"San Telmo";-34.62396;-58.36837;"Entire home/apt";34059.0;4;50;"2025-01-03";0.75;1;67;16
"36298346";"Departamento entero, Palermo Hollywood,Entire Apt.";93482524;"Sebastian";"Palermo";-34.58294;-58.43313;"Entire home/apt";52511.0;3;16;"2024-08-06";0.24;1;180;4
"36318891";"Terraza AzafrÃ¡n | Folk Suite (cocina+baÃ±o privado)";67515010;"Patricia Notburga";"Caballito";-34.62205;-58.43341;"Entire home/apt";36758.0;3;12;"2024-12-02";0.19;1;244;2
"36338186";"Luminoso depto. con cochera zona Hospital Italiano";50186139;"Diego Alberto";"Almagro";-34.59984;-58.42412;"Entire home/apt";25058.0;3;106;"2025-01-12";1.57;1;141;34
"36347619";"Depto  en Villa Crespo a cuadras de  Palermo";167639053;"Leticia";"Villa Crespo";-34.59283;-58.44354;"Entire home/apt";36758.0;1;66;"2024-12-08";0.99;2;259;3
"36348175";"ambiente francÃ©s divino TV baÃ±o privado  aire";233719881;"Jorge Horacio";"Coghlan";-34.56371;-58.47215;"Entire home/apt";33155.0;2;5;"2024-03-14";0.18;9;365;2
"36349254";"Luminoso apartamento en Palermo";27594836;"Marcela";"Palermo";-34.59274;-58.41596;"Entire home/apt";42009.0;2;28;"2025-01-04";0.41;1;260;2
"36385859";"#82 Hermoso departamento sobre la Av. 9 de Julio!";73350585;"Elena";"Constitucion";-34.61991500854492;-58.3806037902832;"Entire home/apt";42009.0;2;5;"2023-11-12";0.07;27;179;0
"36413905";"Hermoso depto Arenales Luz - Recoleta  4 pax";4149346;"Natalia Alejandra";"Recoleta";-34.59269;-58.40403;"Entire home/apt";52133.0;3;38;"2024-07-23";0.57;9;61;2
"36417678";"Charming Stay in the Heart of Buenos Aires";273810025;"JuliÃ¡n";"San Nicolas";-34.6004524230957;-58.38600158691406;"Entire home/apt";31507.0;2;16;"2022-01-19";0.24;1;78;0
"36424051";"CorazÃ³n de Buenos Aires";273860364;"Maria Rosa";"San Nicolas";-34.60334;-58.39021;"Entire home/apt";33870.0;2;77;"2023-12-11";1.15;1;76;0
"36476019";"Habitacion We The People Palermo Hollywood";171354556;"We The People";"Palermo";-34.57785;-58.43629;"Private room";57762.0;1;62;"2024-08-25";0.92;14;78;2
"36505036";"Apartamento ClÃ¡sico";1096393;"Gisela";"Belgrano";-34.55325;-58.45176;"Entire home/apt";48909.0;1;13;"2024-05-09";0.2;7;315;2
"36518627";"Best choice in BA: Palermo Hollywood Studio Apt.";11904407;"Grace";"Palermo";-34.57828;-58.43725;"Entire home/apt";50410.0;3;16;"2024-07-25";0.24;3;213;1
"36526498";"Unique & Modern Loft in Palermo +  Private Terrace";35399246;"Ary";"Palermo";-34.58906;-58.43575;"Entire home/apt";35707.0;3;77;"2024-06-09";1.2;1;75;6
"36545763";"Beautiful Apartment  in the heart of Palermo Soho";65902186;"Eduardo Abel";"Palermo";-34.58917;-58.42967;"Entire home/apt";60766.0;3;97;"2025-01-21";1.44;1;74;25
"36559708";"One Bedroom and Terrace";20174177;"Daniel";"Palermo";-34.57993;-58.43125;"Entire home/apt";44256.0;4;31;"2024-11-18";0.48;4;56;2
"36569165";"Moderno y completo monoambiente en V. del Parque";137427072;"Luli Y Eli";"Agronomia";-34.5965;-58.48849;"Entire home/apt";37000.0;3;15;"2022-08-01";0.22;1;179;0
"36583438";"UNIQUE, un espacio Ãºnico en pleno RECOLETA...";116752887;"Eduardo";"Recoleta";-34.58716;-58.39484;"Entire home/apt";61963.0;3;104;"2025-01-12";1.57;2;351;27
"36590705";"Design apartment";1274606;"Mario";"Palermo";-34.56502;-58.43964;"Entire home/apt";50410.0;4;5;"2023-07-22";0.08;1;239;0
"36595587";"La mejor zona de Palermo Hollywood. Luminoso E";265210688;"Patricia";"Palermo";-34.58173;-58.44133;"Entire home/apt";36758.0;3;4;"2019-09-02";0.06;2;1;0
"36599451";"Hello Buenos Aires";12060259;"Norma";"Retiro";-34.5936499;-58.3797484;"Entire home/apt";30908.0;3;1;"2024-12-31";1.0;1;349;1
"36602020";"Lindo y luminoso departamento en Palermo!!";249867313;"Lucia";"Recoleta";-34.59219;-58.41225;"Entire home/apt";73515.0;3;3;"2023-11-27";0.05;2;58;0
"36631331";"DiseÃ±o, confort y lujo en Palermo Hollywood";271379781;"Pedro";"Colegiales";-34.58178;-58.445;"Entire home/apt";57762.0;3;38;"2025-01-12";0.59;1;365;8
"36672182";"Amplio monoambiente en San Telmo";153429662;"Claudia";"Constitucion";-34.62404;-58.37829;"Entire home/apt";55000.0;1;1;"2019-08-04";0.01;2;0;0
"36673826";"Cozy, Fashion and Best location ever";229493347;"Rodolfo";"Palermo";-34.58046;-58.43219;"Private room";84017.0;1;38;"2024-12-01";0.56;3;365;1
"36680950";"Best Studio in the Heart of Recoleta, BA";275704458;"Guillermo";"Recoleta";-34.593987;-58.391689;"Entire home/apt";42009.0;3;85;"2025-01-02";1.3;2;230;26
